hindi,trans
क़ी,qI
क़ु,qu
क़ू,qU
क़ृ,qR
क़े,qe
क़ै,qai
क़ो,qo
क़ौ,qau
क़ं,qaM
क़ः,qaH
क़ँ,qa~
ख़ा,qhA
ख़ि,qhi
ख़ी,qhI
ख़ु,qhu
ख़ू,qhU
ख़ृ,qhR
ख़े,qhe
ख़ै,qhai
ख़ो,qho
ख़ौ,qhau
ख़ं,qhaM
ख़ः,qhaH
ख़ँ,qha~
ग़ा,g2A
ग़ि,g2i
ग़ी,g2I
ग़ु,g2u
ग़ू,g2U
ग़ृ,g2R
ग़े,g2e
ग़ै,g2ai
ग़ो,g2o
ग़ौ,g2au
ग़ं,g2aM
ग़ः,g2aH
ग़ँ,g2a~
ज़ा,z2A
ज़ि,z2i
ज़ी,z2I
ज़ु,z2u
ज़ू,z2U
ज़ृ,z2R
ज़े,z2e
ज़ै,z2ai
ज़ो,z2o
ज़ौ,z2au
ज़ं,z2aM
ज़ः,z2aH
ज़ँ,z2a~
ड़ा,r3A
ड़ि,r3i
ड़ी,r3I
ड़ु,r3u
ड़ू,r3U
ड़ृ,r3R
ड़े,r3e
ड़ै,r3ai
ड़ो,r3o
ड़ौ,r3au
ड़ं,r3aM
ड़ः,r3aH
ड़ँ,r3a~
ढ़ा,r3hA
ढ़ि,r3hi
ढ़ी,r3hI
ढ़ु,r3hu
ढ़ू,r3hU
ढ़ृ,r3hR
ढ़े,r3he
ढ़ै,r3hai
ढ़ो,r3ho
ढ़ौ,r3hau
ढ़ं,r3haM
ढ़ः,r3haH
ढ़ँ,r3ha~
फ़ा,fA
फ़ि,fi
फ़ी,fI
फ़ु,fu
फ़ू,fU
फ़ृ,fR
फ़े,fe
फ़ै,fai
फ़ो,fo
फ़ौ,fau
फ़ं,faM
फ़ः,faH
फ़ँ,fa~
