hindi,trans
दँ,da~
द्,d
&द्,&d
धा,dhA
धि,dhi
धी,dhI
धु,dhu
धू,dhU
धृ,dhR
धॄ,dhRR
धॢ,dhlR
धॣ,dhlRR
धॆ,dhE
धे,dhe
धै,dhai
धॊ,dhO
धो,dho
धौ,dhau
धॅ,dhaE
धॕ,dhAE
धॉ,dhaO
धं,dhaM
धः,dhaH
धँ,dha~
ध्,dh
&ध्,&dh
ना,nA
नि,ni
नी,nI
नु,nu
नू,nU
नृ,nR
नॄ,nRR
नॢ,nlR
नॣ,nlRR
नॆ,nE
ने,ne
नै,nai
नॊ,nO
नो,no
नौ,nau
नॅ,naE
नॕ,nAE
नॉ,naO
नं,naM
नः,naH
नँ,na~
न्,n
&न्,&n
पा,pA
पि,pi
पी,pI
पु,pu
पू,pU
पृ,pR
पॄ,pRR
पॢ,plR
पॣ,plRR
पॆ,pE
पे,pe
पै,pai
पॊ,pO
पो,po
पौ,pau
पॅ,paE
पॕ,pAE
पॉ,paO
पं,paM
पः,paH
पँ,pa~
प्,p
&प्,&p
फा,phA
फि,phi
फी,phI
फु,phu
फू,phU
फृ,phR
फॄ,phRR
फॢ,phlR
फॣ,phlRR
फॆ,phE
फे,phe
फै,phai
फॊ,phO
फो,pho
फौ,phau
फॅ,phaE
फॕ,phAE
फॉ,phaO
फं,phaM
फः,phaH
फँ,pha~
फ्,ph
&फ्,&ph
बा,bA
बि,bi
बी,bI
बु,bu
बू,bU
बृ,bR
बॄ,bRR
बॢ,blR
बॣ,blRR
बॆ,bE
बे,be
बै,bai
बॊ,bO
बो,bo
बौ,bau
बॅ,baE
बॕ,bAE
बॉ,baO
बं,baM
बः,baH
बँ,ba~
ब्,b
&ब्,&b
भा,bhA
भि,bhi
भी,bhI
भु,bhu
भू,bhU
भृ,bhR
भॄ,bhRR
भॢ,bhlR
भॣ,bhlRR
भॆ,bhE
भे,bhe
भै,bhai
भॊ,bhO
भो,bho
भौ,bhau
भॅ,bhaE
भॕ,bhAE
भॉ,bhaO
भं,bhaM
भः,bhaH
भँ,bha~
भ्,bh
&भ्,&bh
मा,mA
मि,mi
मी,mI
मु,mu
मू,mU
मृ,mR
मॄ,mRR
मॢ,mlR
मॣ,mlRR
मॆ,mE
मे,me
मै,mai
मॊ,mO
मो,mo
मौ,mau
मॅ,maE
मॕ,mAE
मॉ,maO
मं,maM
मः,maH
मँ,ma~
म्,m
&म्,&m
या,yA
यि,yi
यी,yI
यु,yu
यू,yU
यृ,yR
यॄ,yRR
यॢ,ylR
यॣ,ylRR
यॆ,yE
ये,ye
यै,yai
यॊ,yO
यो,yo
यौ,yau
यॅ,yaE
यॕ,yAE
यॉ,yaO
यं,yaM
यः,yaH
यँ,ya~
य्,y
&य्,&y
रा,rA
रि,ri
री,rI
रु,ru
रू,rU
रृ,rR
रॄ,rRR
रॢ,rlR
रॣ,rlRR
रॆ,rE
रे,re
रै,rai
रॊ,rO
रो,ro
रौ,rau
रॅ,raE
रॕ,rAE
रॉ,raO
रं,raM
रः,raH
रँ,ra~
र्,r
&र्,&r
ला,lA
लि,li
ली,lI
लु,lu
लू,lU
ऌ,lR
ॡ,lRR
लॢ,llR
लॣ,llRR
लॆ,lE
ले,le
लै,lai
लॊ,lO
लो,lo
लौ,lau
लॅ,laE
लॕ,lAE
लॉ,laO
लं,laM
लः,laH
लँ,la~
ल्,l
&ल्,&l
वा,vA
वि,vi
वी,vI
वु,vu
वू,vU
वृ,vR
वॄ,vRR
वॢ,vlR
वॣ,vlRR
वॆ,vE
वे,ve
वै,vai
वॊ,vO
वो,vo
वौ,vau
वॅ,vaE
वॕ,vAE
वॉ,vaO
वं,vaM
वः,vaH
वँ,va~
व्,v
&व्,&v
शा,zA
शि,zi
शी,zI
शु,zu
शू,zU
शृ,zR
शॄ,zRR
शॢ,zlR
शॣ,zlRR
शॆ,zE
शे,ze
शै,zai
शॊ,zO
शो,zo
शौ,zau
शॅ,zaE
शॕ,zAE
शॉ,zaO
शं,zaM
शः,zaH
शँ,za~
श्,z
&श्,&z
षा,SA
षि,Si
षी,SI
षु,Su
षू,SU
षृ,SR
षॄ,SRR
षॢ,SlR
षॣ,SlRR
षॆ,SE
षे,Se
षै,Sai
षॊ,SO
षो,So
षौ,Sau
षॅ,SaE
षॕ,SAE
षॉ,SaO
षं,SaM
षः,SaH
षँ,Sa~
ष्,S
&ष्,&S
सा,sA
सि,si
सी,sI
सु,su
सू,sU
सृ,sR
सॄ,sRR
सॢ,slR
सॣ,slRR
सॆ,sE
से,se
सै,sai
सॊ,sO
सो,so
सौ,sau
सॅ,saE
सॕ,sAE
सॉ,saO
सं,saM
सः,saH
सँ,sa~
स्,s
&स्,&s
हा,hA
हि,hi
ही,hI
हु,hu
हू,hU
हृ,hR
हॄ,hRR
हॢ,hlR
हॣ,hlRR
हॆ,hE
हे,he
है,hai
हॊ,hO
हो,ho
हौ,hau
हॅ,haE
हॕ,hAE
हॉ,haO
हं,haM
हः,haH
हँ,ha~
ह्,h
&ह्,&h
ऴा,ZA
ऴि,Zi
ऴी,ZI
ऴु,Zu
ऴू,ZU
ऴृ,ZR
ऴॄ,ZRR
ऴॢ,ZlR
ऴॣ,ZlRR
ऴॆ,ZE
ऴे,Ze
ऴै,Zai
ऴॊ,ZO
ऴो,Zo
ऴौ,Zau
ऴॅ,ZaE
ऴॕ,ZAE
ऴॉ,ZaO
ऴं,ZaM
ऴः,ZaH
ऴँ,Za~
ऴ्,Z
&ऴ्,&Z
ळा,LA
ळि,Li
ळी,LI
ळु,Lu
ळू,LU
ळृ,LR
ळॄ,LRR
ळॢ,LlR
ळॣ,LlRR
ळॆ,LE
ळे,Le
ळै,Lai
ळॊ,LO
ळो,Lo
ळौ,Lau
ळॅ,LaE
ळॕ,LAE
ळॉ,LaO
ळं,LaM
ळः,LaH
ळँ,La~
ळ्,L
&ळ्,&L
ऱा,r2A
ऱि,r2i
ऱी,r2I
ऱु,r2u
ऱू,r2U
ऱृ,r2R
ऱॄ,r2RR
ऱॢ,r2lR
ऱॣ,r2lRR
ऱॆ,r2E
ऱे,r2e
ऱै,r2ai
ऱॊ,r2O
ऱो,r2o
ऱौ,r2au
ऱॅ,r2aE
ऱॕ,r2AE
ऱॉ,r2aO
ऱं,r2aM
ऱः,r2aH
ऱँ,r2a~
ऱ्‌,r2
&ऱ्‌,&r2
ऩा,n2A
ऩि,n2i
ऩी,n2I
ऩु,n2u
ऩू,n2U
ऩृ,n2R
ऩॄ,n2RR
ऩॢ,n2lR
ऩॣ,n2lRR
ऩॆ,n2E
ऩे,n2e
ऩै,n2ai
ऩॊ,n2O
ऩो,n2o
ऩौ,n2au
ऩॅ,n2aE
ऩॕ,n2AE
ऩॉ,n2aO
ऩं,n2aM
ऩः,n2aH
ऩँ,n2a~
ऩ्,n2
&ऩ्,&n2
क़ा,qA
क़ि,qi
क़ी,qI
क़ु,qu
क़ू,qU
क़ृ,qR
क़ॄ,qRR
क़ॢ,qlR
क़ॣ,qlRR
क़ॆ,qE
क़े,qe
क़ै,qai
क़ॊ,qO
क़ो,qo
क़ौ,qau
क़ॅ,qaE
क़ॕ,qAE
क़ॉ,qaO
क़ं,qaM
क़ः,qaH
क़ँ,qa~
क़्,q
&क़्,&q
ख़ा,qhA
ख़ि,qhi
ख़ी,qhI
ख़ु,qhu
ख़ू,qhU
ख़ृ,qhR
ख़ॄ,qhRR
ख़ॢ,qhlR
ख़ॣ,qhlRR
ख़ॆ,qhE
ख़े,qhe
ख़ै,qhai
ख़ॊ,qhO
ख़ो,qho
ख़ौ,qhau
ख़ॅ,qhaE
ख़ॕ,qhAE
ख़ॉ,qhaO
ख़ं,qhaM
ख़ः,qhaH
ख़ँ,qha~
ख़्,qh
&ख़्,&qh
ग़ा,g2A
ग़ि,g2i
ग़ी,g2I
ग़ु,g2u
ग़ू,g2U
ग़ृ,g2R
ग़ॄ,g2RR
ग़ॢ,g2lR
ग़ॣ,g2lRR
ग़ॆ,g2E
ग़े,g2e
ग़ै,g2ai
ग़ॊ,g2O
ग़ो,g2o
ग़ौ,g2au
ग़ॅ,g2aE
ग़ॕ,g2AE
ग़ॉ,g2aO
ग़ं,g2aM
ग़ः,g2aH
ग़ँ,g2a~
ग़्,g2
&ग़्,&g2
ज़ा,z2A
ज़ि,z2i
ज़ी,z2I
ज़ु,z2u
ज़ू,z2U
ज़ृ,z2R
ज़ॄ,z2RR
ज़ॢ,z2lR
ज़ॣ,z2lRR
ज़ॆ,z2E
ज़े,z2e
ज़ै,z2ai
ज़ॊ,z2O
ज़ो,z2o
ज़ौ,z2au
ज़ॅ,z2aE
ज़ॕ,z2AE
ज़ॉ,z2aO
ज़ं,z2aM
ज़ः,z2aH
ज़ँ,z2a~
ज़्,z2
&ज़्,&z2
ड़ा,r3A
ड़ि,r3i
ड़ी,r3I
ड़ु,r3u
ड़ू,r3U
ड़ृ,r3R
ड़ॄ,r3RR
ड़ॢ,r3lR
ड़ॣ,r3lRR
ड़ॆ,r3E
ड़े,r3e
ड़ै,r3ai
ड़ॊ,r3O
ड़ो,r3o
ड़ौ,r3au
ड़ॅ,r3aE
ड़ॕ,r3AE
ड़ॉ,r3aO
ड़ं,r3aM
ड़ः,r3aH
ड़ँ,r3a~
ड़्,r3
&ड़्,&r3
ढ़ा,r3hA
ढ़ि,r3hi
ढ़ी,r3hI
ढ़ु,r3hu
ढ़ू,r3hU
ढ़ृ,r3hR
ढ़ॄ,r3hRR
ढ़ॢ,r3hlR
ढ़ॣ,r3hlRR
ढ़ॆ,r3hE
ढ़े,r3he
ढ़ै,r3hai
ढ़ॊ,r3hO
ढ़ो,r3ho
ढ़ौ,r3hau
ढ़ॅ,r3haE
ढ़ॕ,r3hAE
ढ़ॉ,r3haO
ढ़ं,r3haM
ढ़ः,r3haH
ढ़ँ,r3ha~
ढ़्,r3h
&ढ़्,&r3h
फ़ा,fA
फ़ि,fi
फ़ी,fI
फ़ु,fu
फ़ू,fU
फ़ृ,fR
फ़ॄ,fRR
फ़ॢ,flR
फ़ॣ,flRR
फ़ॆ,fE
फ़े,fe
फ़ै,fai
फ़ॊ,fO
फ़ो,fo
फ़ौ,fau
फ़ॅ,faE
फ़ॕ,fAE
फ़ॉ,faO
फ़ं,faM
फ़ः,faH
फ़ँ,fa~
फ़्,f
&फ़्,&f
य़ा,YA
य़ि,Yi
य़ी,YI
य़ु,Yu
य़ू,YU
य़ृ,YR
य़ॄ,YRR
य़ॢ,YlR
य़ॣ,YlRR
य़ॆ,YE
य़े,Ye
य़ै,Yai
य़ॊ,YO
य़ो,Yo
य़ौ,Yau
य़ॅ,YaE
य़ॕ,YAE
य़ॉ,YaO
य़ं,YaM
य़ः,YaH
य़ँ,Ya~
य़्,Y
&य़्,&Y
